FOV_ID	ROI_ID	max_spotInt	ROI_Volume	ch01_C2__	ch02_C3__	ch03_C4__	ch04_C5__	maskFileName
1	204	0	98123	6	117	93	26	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	230	0	77715	6	117	93	26	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
1	255	0	77501	25	286	126	102	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #1med_cells.tiff
2	36	1030823.45995019	125099	25	286	126	102	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #2med_cells.tiff
2	73	973064.598478211	118277	25	286	126	102	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #2med_cells.tiff
2	109	2435822.16397118	62406	25	286	126	102	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #2med_cells.tiff
2	146	1201119.38964778	89634	4	134	78	26	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #2med_cells.tiff
2	182	1812604.38709131	57841	4	134	78	26	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #2med_cells.tiff
2	219	1263530.98490213	125225	4	134	78	26	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #2med_cells.tiff
2	255	1071091.17463799	53140	4	134	78	26	/Users/lionnt01/Documents/GitHub/sortSpots/examples/C9_SlideF_Left_Control_State3 #2med_cells.tiff
